Package                           Version
--------------------------------- -------------
absl-py                           2.2.2
accelerate                        1.6.0
aenum                             3.1.15
aiohappyeyeballs                  2.6.1
aiohttp                           3.11.16
aiohttp-cors                      0.8.1
aiosignal                         1.3.2
airportsdata                      20250224
annotated-types                   0.7.0
antlr4-python3-runtime            4.13.2
anyio                             4.9.0
astor                             0.8.1
attrs                             25.3.0
bitsandbytes                      0.45.5
blake3                            1.0.4
cachetools                        5.5.2
certifi                           2025.1.31
chardet                           5.2.0
charset-normalizer                3.4.1
click                             8.1.8
cloudpickle                       3.1.1
colorama                          0.4.6
colorful                          0.5.6
colorlog                          6.9.0
compressed-tensors                0.9.1
DataProperty                      1.1.0
datasets                          3.5.0
depyf                             0.18.0
dill                              0.3.8
diskcache                         5.6.3
distlib                           0.3.9
distro                            1.9.0
docker-pycreds                    0.4.0
einops                            0.8.1
fastapi                           0.115.12
filelock                          3.18.0
flash_attn                        2.7.4.post1
frozenlist                        1.5.0
fsspec                            2024.12.0
gguf                              0.10.0
gitdb                             4.0.12
GitPython                         3.1.44
google-api-core                   2.24.2
google-auth                       2.38.0
googleapis-common-protos          1.69.2
grpcio                            1.71.0
h11                               0.14.0
httpcore                          1.0.7
httptools                         0.6.4
httpx                             0.28.1
huggingface-hub                   0.30.1
idna                              3.10
importlib_metadata                8.6.1
interegular                       0.3.3
Jinja2                            3.1.6
jiter                             0.9.0
joblib                            1.4.2
jsonschema                        4.23.0
jsonschema-specifications         2024.10.1
lark                              1.2.2
latex2sympy2_extended             1.10.1
lighteval                         0.8.1
lm-format-enforcer                0.10.11
lxml                              5.3.2
Markdown                          3.8
markdown-it-py                    3.0.0
MarkupSafe                        3.0.2
math-verify                       0.7.0
mbstrdecoder                      1.1.4
mdurl                             0.1.2
mistral_common                    1.5.4
mpmath                            1.3.0
msgpack                           1.1.0
msgspec                           0.19.0
multidict                         6.3.2
multiprocess                      0.70.16
nanobind                          2.6.1
nest-asyncio                      1.6.0
networkx                          3.4.2
ninja                             1.11.1.4
nltk                              3.9.1
numpy                             1.26.4
nvidia-cublas-cu12                12.4.5.8
nvidia-cuda-cupti-cu12            12.4.127
nvidia-cuda-nvrtc-cu12            12.4.127
nvidia-cuda-runtime-cu12          12.4.127
nvidia-cudnn-cu12                 9.1.0.70
nvidia-cufft-cu12                 11.2.1.3
nvidia-curand-cu12                10.3.5.147
nvidia-cusolver-cu12              11.6.1.9
nvidia-cusparse-cu12              12.3.1.170
nvidia-ml-py                      12.570.86
nvidia-nccl-cu12                  2.21.5
nvidia-nvjitlink-cu12             12.4.127
nvidia-nvtx-cu12                  12.4.127
openai                            1.71.0
opencensus                        0.11.4
opencensus-context                0.1.3
opencv-python-headless            4.11.0.86
outlines                          0.1.11
outlines_core                     0.1.26
packaging                         24.2
pandas                            2.2.3
partial-json-parser               0.2.1.1.post5
pathvalidate                      3.2.3
pillow                            11.1.0
pip                               25.0.1
platformdirs                      4.3.7
portalocker                       3.1.1
prometheus_client                 0.21.1
prometheus-fastapi-instrumentator 7.1.0
propcache                         0.3.1
proto-plus                        1.26.1
protobuf                          3.20.3
psutil                            7.0.0
py-cpuinfo                        9.0.0
py-spy                            0.4.0
pyarrow                           19.0.1
pyasn1                            0.6.1
pyasn1_modules                    0.4.2
pycountry                         24.6.1
pydantic                          2.11.2
pydantic_core                     2.33.1
Pygments                          2.19.1
pytablewriter                     1.2.1
python-dateutil                   2.9.0.post0
python-dotenv                     1.1.0
pytz                              2025.2
PyYAML                            6.0.2
pyzmq                             26.4.0
ray                               2.44.1
referencing                       0.36.2
regex                             2024.11.6
requests                          2.32.3
rich                              14.0.0
rouge_score                       0.1.2
rpds-py                           0.24.0
rsa                               4.9
sacrebleu                         2.5.1
safetensors                       0.5.3
scikit-learn                      1.6.1
scipy                             1.15.2
sentencepiece                     0.2.0
sentry-sdk                        2.25.1
setproctitle                      1.3.5
setuptools                        75.8.0
shellingham                       1.5.4
six                               1.17.0
smart-open                        7.1.0
smmap                             5.0.2
sniffio                           1.3.1
starlette                         0.46.1
sympy                             1.13.1
tabledata                         1.3.4
tabulate                          0.9.0
tcolorpy                          0.1.7
tensorboard                       2.19.0
tensorboard-data-server           0.7.2
termcolor                         2.3.0
threadpoolctl                     3.6.0
tiktoken                          0.9.0
tokenizers                        0.21.1
torch                             2.5.1
torchaudio                        2.5.1
torchvision                       0.20.1
tqdm                              4.67.1
transformers                      4.51.0
triton                            3.1.0
trl                               0.16.1
typepy                            1.3.4
typer                             0.15.2
typing_extensions                 4.13.1
typing-inspection                 0.4.0
tzdata                            2025.2
urllib3                           2.3.0
uvicorn                           0.34.0
uvloop                            0.21.0
virtualenv                        20.30.0
vllm                              0.7.2
wandb                             0.19.9
watchfiles                        1.0.4
websockets                        15.0.1
Werkzeug                          3.1.3
wheel                             0.41.3
wrapt                             1.17.2
xformers                          0.0.28.post3
xgrammar                          0.1.17
xxhash                            3.5.0
yarl                              1.19.0
zipp                              3.21.0
